球員ID,球員姓名,照片
13161,陳世峰,./images/player_1_0.jpg
13162,游黃翰,./images/player_8_1.jpg
12712,王亭乃,./images/player_9_2.png
12713,陳炳亨,./images/player_17_3.jpg
12714,向志偉,./images/player_18_4.jpg
12715,黃立閎,./images/player_23_5.jpg
12862,黃柏璁,./images/player_27_6.jpg
12717,溫東齊,./images/player_29_7.png
12718,陳柏彥,./images/player_37_8.jpg
12719,蔡佳良,./images/player_42_9.jpg
12720,林育醇,./images/player_46_10.jpg
12721,朱宏金,./images/player_51_11.jpg
12722,陳子朋,./images/player_52_12.png
12723,徐一正,./images/player_66_13.png
12725,邱煜盛,./images/player_86_14.jpg
12726,吳冠融,./images/player_99_15.png
