GameID,Player,PTS,REB,AST,STL,BLK,PF,TO
5498,陳世峰 #1,0,2,0,0,0,1,1
5498,游黃翰 #8,4,1,1,1,0,0,0
5498,王亭乃 #9,0,1,0,0,0,1,0
5498,陳炳亨 #17,24,5,1,3,2,0,0
5498,蔡佳良 #42,22,12,3,0,3,1,1
5498,林育醇 #46,6,4,0,0,0,1,0
5498,徐一正 #66,11,2,8,0,0,3,1
5486,陳炳亨 #17,8,4,1,1,0,1,0
5486,向志偉 #18,24,4,6,1,1,1,0
5486,黃立閎 #23,18,4,0,0,0,0,1
5486,溫東齊 #29,14,5,1,2,0,1,1
5486,蔡佳良 #42,6,9,0,0,0,0,1
5486,林育醇 #46,2,0,0,0,0,0,0
5486,陳子朋 #52,4,6,0,0,0,1,1
5486,徐一正 #66,0,1,0,0,0,0,1
5413,王亭乃 #9,3,0,0,0,0,0,0
5413,陳炳亨 #17,22,4,1,2,1,0,4
5413,黃立閎 #23,17,13,1,2,0,1,1
5413,黃柏璁 #27,7,7,1,1,0,1,0
5413,溫東齊 #29,11,13,2,1,0,1,2
5413,陳柏彥 #37,15,3,5,2,0,2,3
5413,徐一正 #66,4,2,0,1,0,3,0
5331,陳炳亨 #17,38,11,2,0,0,0,2
5331,黃柏璁 #27,2,6,2,1,0,0,3
5331,陳子朋 #52,15,17,3,2,0,4,1
5331,徐一正 #66,2,5,3,1,0,1,3
5251,王亭乃 #9,0,0,0,0,0,0,2
5251,陳炳亨 #17,14,8,3,4,0,0,4
5251,黃立閎 #23,22,9,6,2,0,1,4
5251,蔡佳良 #42,20,10,2,1,2,4,2
5251,陳子朋 #52,10,11,2,0,0,3,3
5251,徐一正 #66,0,3,1,1,0,4,5
